Single Threaded,,,Multi-Threaded,,,
Number,Time to complete (ms),,Number,Time to complete (ms),,
1,0.008,,1,0.0061,,1.31147541
2,0.0099,,2,0.007,,1.414285714
3,0.0098,,3,0.0088,,1.113636364
4,0.0102,,4,0.0087,,1.172413793
5,0.0097,,5,0.0065,,1.492307692
6,0.0159,,6,0.0068,,2.338235294
7,1.1738,,7,0.5407,,2.170889588
8,0.0099,,8,0.0087,,1.137931034
9,0.0105,,9,0.0085,,1.235294118
10,0.0098,,10,0.0067,,1.462686567
11,0.6124,,11,0.6622,,0.924796134
12,0.0101,,12,0.0088,,1.147727273
13,0.5835,,13,0.6272,,0.930325255
14,0.6537,,14,0.6314,,1.03531834
15,0.0157,,15,0.0069,,2.275362319
16,0.0102,,16,0.0073,,1.397260274
17,1.4434,,17,0.6516,,2.215162676
18,0.0096,,18,0.0072,,1.333333333
19,0.6886,,19,0.6541,,1.052744229
20,0.01,,20,0.0068,,1.470588235
21,0.8781,,21,0.6089,,1.442108721
22,0.638,,22,0.6774,,0.941836433
23,1.3585,,23,0.6995,,1.942101501
24,0.0139,,24,0.0068,,2.044117647
25,0.0102,,25,0.0072,,1.416666667
26,1.7772,,26,0.6639,,2.676909173
27,0.01,,27,0.0074,,1.351351351
28,0.5425,,28,0.5289,,1.025713746
29,0.7415,,29,0.6554,,1.131370156
30,0.0099,,30,0.0088,,1.125
31,0.7966,,31,0.6866,,1.160209729
32,0.0097,,32,0.0068,,1.426470588
33,0.7025,,33,0.5396,,1.301890289
34,0.7854,,34,0.6656,,1.179987981
35,1.2722,,35,0.6599,,1.927867859
36,0.0093,,36,0.0111,,0.837837838
37,0.7293,,37,0.6721,,1.085106383
38,1.6353,,38,0.5278,,3.098332702
39,1.0755,,39,0.6453,,1.666666667
40,0.0102,,40,0.0072,,1.416666667
41,3.3404,,41,0.6729,,4.964184871
42,4.3519,,42,0.6921,,6.287964167
43,1.55,,43,0.5373,,2.884794342
44,0.9691,,44,0.6917,,1.401040914
45,0.0101,,45,0.009,,1.122222222
46,2.0984,,46,0.5815,,3.608598452
47,1.2142,,47,0.6275,,1.93498008
48,0.0101,,48,0.0071,,1.422535211
49,7.1627,,49,1.3471,,5.317125677
50,0.0104,,50,0.0069,,1.507246377
51,0.9928,,51,0.5534,,1.794000723
52,0.6901,,52,0.6396,,1.078955597
53,0.94,,53,0.5868,,1.601908657
54,0.0101,,54,0.0072,,1.402777778
55,0.7769,,55,0.7424,,1.046470905
56,0.8983,,56,0.5606,,1.602390296
57,0.7886,,57,0.5795,,1.3608283
58,0.8398,,58,0.5744,,1.462047354
59,0.854,,59,0.6899,,1.23786056
60,0.0159,,60,0.0134,,1.186567164
61,0.9522,,61,0.5873,,1.621317895
62,1.2585,,62,0.5603,,2.246118151
63,0.7608,,63,0.5603,,1.357844012
64,0.0097,,64,0.0072,,1.347222222
65,1.0071,,65,0.6658,,1.512616401
66,0.703,,66,0.5979,,1.175781903
67,0.7267,,67,0.5666,,1.282562654
68,0.7421,,68,0.5856,,1.267247268
69,0.8058,,69,0.6018,,1.338983051
70,0.8437,,70,0.6728,,1.25401308
71,1.6509,,71,0.5489,,3.007651667
72,0.0099,,72,0.007,,1.414285714
73,0.6705,,73,0.5877,,1.140888208
74,0.6585,,74,0.5504,,1.196402616
75,0.0136,,75,0.0101,,1.346534653
76,1.4991,,76,0.627,,2.390909091
77,1.3703,,77,1.2629,,1.085042363
78,2.2694,,78,0.6334,,3.582886012
79,0.7984,,79,0.603,,1.324046434
80,0.0096,,80,0.0097,,0.989690722
81,0.0091,,81,0.0071,,1.281690141
82,0.8598,,82,0.5892,,1.459266802
83,0.5825,,83,0.6494,,0.896981829
84,0.832,,84,0.5335,,1.559512652
85,0.9517,,85,0.5741,,1.657725135
86,1.4503,,86,0.5608,,2.586126961
87,1.3985,,87,0.5329,,2.62431976
88,0.8788,,88,0.5974,,1.471041178
89,2.6174,,89,0.5605,,4.669759144
90,0.0115,,90,0.0071,,1.61971831
91,2.1848,,91,1.0824,,2.018477458
92,1.1337,,92,0.5989,,1.892970446
93,0.881,,93,0.6077,,1.449728484
94,1.2417,,94,0.9488,,1.308705734
95,2.4623,,95,0.602,,4.090199336
96,0.0102,,96,0.0107,,0.953271028
97,0.7261,,97,0.54,,1.34462963
98,2.0366,,98,1.0743,,1.895746067
99,0.6597,,99,0.5948,,1.109112307
100,0.0101,,100,0.0097,,1.041237113
101,0.636,,101,0.5777,,1.100917431
102,0.8761,,102,0.532,,1.646804511
103,1.0362,,103,0.5729,,1.808692617
104,2.6949,,104,0.6581,,4.094970369
105,1.7025,,105,0.6093,,2.794190054
106,0.7908,,106,0.5417,,1.459848625
107,0.9036,,107,0.5687,,1.588886935
108,0.0097,,108,0.0098,,0.989795918
109,0.875,,109,0.5422,,1.613795647
110,0.8501,,110,0.5956,,1.427300201
111,0.8257,,111,0.5725,,1.442270742
112,0.7738,,112,0.5785,,1.337597234
113,0.8561,,113,0.605,,1.415041322
114,1.2107,,114,0.5339,,2.267653119
115,0.5616,,115,0.5777,,0.972130864
116,0.6507,,116,0.5725,,1.136593886
117,1.1117,,117,0.5876,,1.891933288
118,0.797,,118,0.6569,,1.213274471
119,1.2155,,119,1.0376,,1.171453354
120,0.0107,,120,0.0073,,1.465753425
121,0.9713,,121,0.5642,,1.721552641
122,0.7416,,122,0.6946,,1.067664843
123,0.6929,,123,0.6454,,1.073597769
124,0.7456,,124,0.5762,,1.293995141
125,0.0089,,125,0.0099,,0.898989899
126,0.7022,,126,0.5964,,1.17739772
127,1.4534,,127,0.5701,,2.549377302
128,0.011,,128,0.0069,,1.594202899
129,0.8607,,129,0.557,,1.54524237
130,1.0519,,130,0.5038,,2.087931719
131,0.7545,,131,0.5762,,1.309441166
132,0.8467,,132,0.5255,,1.611227402
133,1.5808,,133,1.3131,,1.203868708
134,0.9827,,134,0.5501,,1.786402472
135,0.0094,,135,0.0123,,0.764227642
136,0.8718,,136,0.5769,,1.511180447
137,0.7852,,137,0.6195,,1.267473769
138,1.1216,,138,0.5575,,2.011838565
139,0.5646,,139,0.5653,,0.998761719
140,0.6949,,140,0.5224,,1.330206738
141,0.8332,,141,0.6034,,1.380841896
142,0.5645,,142,0.5209,,1.083701286
143,1.3776,,143,1.0455,,1.317647059
144,0.0098,,144,0.0101,,0.97029703
145,0.7419,,145,0.6338,,1.170558536
146,0.6772,,146,0.5471,,1.237799305
147,1.4882,,147,1.1906,,1.249958004
148,1.396,,148,0.5752,,2.426981919
149,0.631,,149,0.5932,,1.063722185
150,0.0098,,150,0.0071,,1.38028169
151,1.0726,,151,0.5393,,1.988874467
152,1.5787,,152,0.5727,,2.756591584
153,2.34,,153,0.5287,,4.425950444
154,1.9604,,154,0.9543,,2.054280625
155,0.8096,,155,0.5544,,1.46031746
156,0.8201,,156,0.5447,,1.505599413
157,0.8766,,157,0.4853,,1.806305378
158,0.8138,,158,0.5539,,1.46921827
159,0.6532,,159,0.5458,,1.196775376
160,0.0101,,160,0.007,,1.442857143
161,2.6876,,161,1.2827,,2.095267794
162,0.0163,,162,0.0129,,1.263565891
163,2.3073,,163,0.5722,,4.032331353
