Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867296,3.845,,4294867296,0.5746,,4294867296,1.0867,,,6.691611556,,,3.538235023,,,0.528756787,
4294867297,4.1633,,4294867297,1.0283,,4294867297,1.354,,,4.04872119,,,3.074815362,,,0.759453471,
4294867298,3.9215,,4294867298,1.0068,,4294867298,1.4318,,,3.895013905,,,2.738860176,,,0.703170834,
4294867299,5.007,,4294867299,0.8965,,4294867299,1.9616,,,5.585052984,,,2.552508157,,,0.457024878,
4294867300,3.1638,,4294867300,0.4665,,4294867300,0.6986,,,6.781993569,,,4.528771829,,,0.6677641,
4294867301,3.7943,,4294867301,1.2824,,4294867301,2.2952,,,2.95874922,,,1.653145695,,,0.558731265,
4294867302,1.3702,,4294867302,0.7436,,4294867302,1.181,,,1.842657343,,,1.160203218,,,0.629635902,
4294867303,2.9063,,4294867303,0.9057,,4294867303,1.7758,,,3.208899194,,,1.636614484,,,0.510023651,
4294867304,7.1008,,4294867304,2.3694,,4294867304,2.7638,,,2.996876846,,,2.569216296,,,0.857297923,
4294867305,11.4665,,4294867305,1.699,,4294867305,2.8093,,,6.748969982,,,4.081621756,,,0.604776991,
4294867306,1.9492,,4294867306,0.6264,,4294867306,1.238,,,3.111749681,,,1.57447496,,,0.505977383,
4294867307,4.3547,,4294867307,1.0184,,4294867307,1.6471,,,4.27602121,,,2.643858904,,,0.618298828,
4294867308,6.5108,,4294867308,0.7366,,4294867308,0.9645,,,8.838989954,,,6.750440643,,,0.763711768,
4294867309,5.1606,,4294867309,1.0553,,4294867309,2.597,,,4.89017341,,,1.987139007,,,0.406353485,
4294867310,4.4286,,4294867310,0.681,,4294867310,1.2457,,,6.5030837,,,3.555109577,,,0.546680581,
4294867311,16.2984,,4294867311,1.7739,,4294867311,2.5069,,,9.187891087,,,6.501416092,,,0.707607005,
4294867312,18.5087,,4294867312,0.7309,,4294867312,1.3028,,,25.32316322,,,14.20686214,,,0.561022413,
4294867313,13.5104,,4294867313,1.005,,4294867313,1.1801,,,13.44318408,,,11.44852131,,,0.851622744,
4294867314,4.2923,,4294867314,1.4721,,4294867314,2.264,,,2.915766592,,,1.895892226,,,0.650220848,
4294867315,5.0555,,4294867315,1.8848,,4294867315,2.8212,,,2.682247453,,,1.791967957,,,0.668084503,
4294867316,5.853,,4294867316,2.3046,,4294867316,3.3449,,,2.539703202,,,1.749828097,,,0.688989207,
4294867317,4.9125,,4294867317,1.3905,,4294867317,1.2354,,,3.532901834,,,3.976444876,,,1.125546382,
4294867318,84.2745,,4294867318,1.0864,,4294867318,1.7817,,,77.572257,,,47.30005051,,,0.609754729,
4294867319,7.4027,,4294867319,1.8403,,4294867319,2.8335,,,4.022550671,,,2.612563967,,,0.649479442,
4294867320,3.082,,4294867320,0.6745,,4294867320,1.0515,,,4.5693106,,,2.93105088,,,0.641464574,
4294867321,2.9914,,4294867321,1.0202,,4294867321,1.4855,,,2.932170163,,,2.01373275,,,0.686772131,
4294867322,5.3023,,4294867322,1.0044,,4294867322,1.5884,,,5.279072083,,,3.338139008,,,0.632334425,
4294867323,4.2735,,4294867323,1.7073,,4294867323,2.7968,,,2.503075031,,,1.527996281,,,0.610447654,
4294867324,1.5486,,4294867324,0.839,,4294867324,1.1867,,,1.845768772,,,1.304963344,,,0.707002612,
4294867325,4.7982,,4294867325,1.3888,,4294867325,2.6065,,,3.454925115,,,1.84085939,,,0.532821792,
4294867326,4.9269,,4294867326,0.9435,,4294867326,1.9549,,,5.221939587,,,2.520282367,,,0.482633383,
4294867327,6.6078,,4294867327,1.7596,,4294867327,2.8495,,,3.755285292,,,2.318933146,,,0.617511844,
4294867328,1.1525,,4294867328,0.4768,,4294867328,0.6784,,,2.41715604,,,1.698850236,,,0.702830189,
4294867329,5.3469,,4294867329,1.0777,,4294867329,1.6295,,,4.961399276,,,3.281313286,,,0.661368518,
4294867330,5.1173,,4294867330,1.2345,,4294867330,2.6026,,,4.145240988,,,1.966226082,,,0.474333359,
4294867331,8.1503,,4294867331,1.9399,,4294867331,3.4826,,,4.201402134,,,2.340291736,,,0.55702636,
4294867332,4.5941,,4294867332,0.873,,4294867332,1.9338,,,5.262428408,,,2.375685179,,,0.451442755,
4294867333,6.2528,,4294867333,1.0864,,4294867333,1.7227,,,5.755522828,,,3.629651129,,,0.630637952,
4294867334,4.9443,,4294867334,1.3997,,4294867334,1.4974,,,3.5323998,,,3.301923334,,,0.934753573,
4294867335,10.9975,,4294867335,0.9168,,4294867335,2.0323,,,11.99552792,,,5.411356591,,,0.451114501,
